symbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_abs,pnl_pct,reason,size
DOGEUSDT,2025-12-12T11:18:59.999000,2025-12-12T11:18:59.999000,LONG,0.14077,0.14078142857142859,1.1428571428578893e-05,8.118612934985361e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T11:43:59.999000,2025-12-12T11:44:59.999000,LONG,0.14118,0.14105399999999998,-0.000126000000000015,-0.0008924776880579047,hit_stop_loss_intrabar,1.0
ETHUSDT,2025-12-12T14:10:59.999000,2025-12-12T14:11:59.999000,LONG,3236.47,3236.632285714286,0.1622857142860994,5.014281432736883e-05,hit_stop_loss_intrabar,1.0
BTCUSDT,2025-12-12T20:15:59.999000,2025-12-12T20:16:59.999000,LONG,90046.65,90083.48057142858,36.83057142858161,0.0004090165645094138,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T20:52:59.999000,2025-12-12T21:05:59.999000,LONG,0.13614,0.13629142857142856,0.00015142857142855237,0.001112300363071488,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T21:32:59.999000,2025-12-12T21:37:59.999000,LONG,0.13653,0.13656342857142856,3.3428571428545384e-05,0.00024484414728298087,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T21:39:59.999000,2025-12-12T21:46:59.999000,LONG,0.13661,0.13676750000000001,0.00015750000000000486,0.0011529170631725705,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-12T22:34:59.999000,2025-12-12T22:38:59.999000,LONG,0.13686,0.13695857142857143,9.85714285714201e-05,0.0007202354856891721,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T22:43:59.999000,2025-12-12T22:48:59.999000,LONG,0.13697,0.13683242857142858,-0.00013757142857143134,-0.001004390951094629,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-13T02:07:59.999000,2025-12-13T02:08:59.999000,LONG,0.13747,0.137494,2.3999999999996247e-05,0.00017458354550080923,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-13T02:32:59.999000,2025-12-13T02:34:59.999000,SHORT,0.1373,0.13741314285714287,-0.0001131428571428672,-0.0008240557694309338,hit_stop_loss,1.0
DOGEUSDT,2025-12-13T03:02:59.999000,2025-12-13T03:03:59.999000,LONG,0.13722,0.13723142857142856,1.1428571428551138e-05,8.328648468554975e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-13T03:24:59.999000,2025-12-13T03:29:59.999000,LONG,0.13739,0.13740257142857143,1.2571428571417353e-05,9.150177284676725e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-13T04:28:59.999000,2025-12-13T04:29:59.999000,LONG,0.13767,0.13756842857142856,-0.0001015714285714231,-0.0007377891230582052,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-13T11:17:59.999000,2025-12-13T11:21:59.999000,SHORT,0.13922,0.1390432142857143,0.00017678571428569878,0.0012698298684506448,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-13T13:00:59.999000,2025-12-13T13:04:59.999000,LONG,0.13952,0.13938242857142857,-0.00013757142857143134,-0.0009860337483617498,hit_stop_loss,1.0
DOGEUSDT,2025-12-13T13:15:59.999000,2025-12-13T13:16:59.999000,SHORT,0.13914,0.13925828571428572,-0.00011828571428570966,-0.0008501201256698983,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-13T14:53:59.999000,2025-12-13T15:00:59.999000,LONG,0.1393,0.13917914285714286,-0.00012085714285714477,-0.0008676033227361434,hit_stop_loss,1.0
